('Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         775267 function calls (750995 primitive calls) in 7.058 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
      312    1.272    0.004    1.272    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.096    0.096    0.096    0.096 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.077    0.077    0.077    0.077 {built-in method _socket.getaddrinfo}
        1    0.074    0.074    0.074    0.074 {method 'connect' of '_socket.socket' objects}
 4759/198    0.029    0.000    0.083    0.000 _parser.py:512(_parse)
     2835    0.025    0.000    0.126    0.000 parser.py:301(parse_starttag)
    26245    0.020    0.000    0.020    0.000 {method 'match' of 're.Pattern' objects}
        1    0.020    0.020    0.020    0.020 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 5521/190    0.018    0.000    0.042    0.000 _compiler.py:37(_compile)
      166    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
        2    0.017    0.008    0.207    0.104 parser.py:134(goahead)
    87150    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
     2835    0.010    0.000    0.015    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
70041/63706    0.010    0.000    0.012    0.000 {built-in method builtins.len}
     2835    0.009    0.000    0.056    0.000 __init__.py:987(handle_starttag)
    29614    0.009    0.000    0.013    0.000 _parser.py:168(__getitem__)
 1270/190    0.008    0.000    0.085    0.000 _parser.py:452(_parse_sub)
       40    0.008    0.000    0.008    0.000 {method 'decompress' of 'zlib.Decompress' objects}
54793/54789    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
  547/542    0.007    0.000    0.063    0.000 {built-in method builtins.__build_class__}
     5928    0.007    0.000    0.031    0.000 __init__.py:826(endData)
     2663    0.007    0.000    0.042    0.000 parser.py:379(parse_endtag)
     2835    0.007    0.000    0.066    0.000 _htmlparser.py:142(handle_starttag)
      901    0.007    0.000    0.010    0.000 _compiler.py:243(_optimize_charset)
     2836    0.007    0.000    0.025    0.000 element.py:1626(__init__)
     8428    0.006    0.000    0.006    0.000 element.py:376(setup)
    14888    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
 5468/371    0.006    0.000    0.010    0.000 _parser.py:178(getwidth)
      227    0.006    0.000    0.402    0.002 {method 'read' of '_io.BufferedReader' objects}
3469/3440    0.005    0.000    0.007    0.000 {built-in method __new__ of type object at 0xa43b40}
